n,time,stack
100,0.001600,4940
200,0.003200,9740
300,0.003200,14540
400,0.004200,19340
500,0.007200,24140
600,0.010400,28940
700,0.008200,33740
800,0.011200,38540
900,0.011000,43340
1000,0.017400,48140
