Nome,Modalidade,Nivel,Agência
ANDRE JOFFILY ABATH,PQ,2,CNPq
ANDRE LUIS BRANCO DE BARROS,PQ,1D,CNPq
ANDRE LUIS PEREIRA MIATELLO,PQ,C,CNPq
ANDRE RICARDO MASSENSINI,PQ,1C,CNPq
ANDREA MACHADO DE ALMEIDA MATTOS,PQ,2,CNPq
ANDREA MARA MACEDO,PQ,1D,CNPq
ANDREA MARIS CAMPOS GUERRA,PQ,C,CNPq
ANDREA OLIVEIRA SOUZA DA COSTA,PQ,2,CNPq
ANDREIA BICALHO HENRIQUES,PQ,2,CNPq
ANDRESSA DA SILVA DE MELLO,PQ,C,CNPq
ANGELA CRISTINA SALGUEIRO MARQUES,PQ,B,CNPq
ANGELA MARIA QUINTAO LANA,PQ,1B,CNPq
ANGELO DE FATIMA,PQ,1D,CNPq
ANGELO MALACHIAS DE SOUZA,PQ,1C,CNPq
ANISIO MENDES LACERDA,PQ,2,CNPq
ANTONELLA LOMBARDI COSTA,PQ,1D,CNPq
ANTONIO ALFREDO FERREIRA LOUREIRO,PQ,A,CNPq
ANTONIO AUGUSTO TORRES MAIA,PQ,2,CNPq
ANTONIO CARLOS PINHEIRO DE OLIVEIRA,PQ,1D,CNPq
ANTONIO DE PADUA BRAGA,PQ,1D,CNPq
ANTONIO FERREIRA AVILA,PQ,1B,CNPq
ANTONIO JAEGER,PQ,C,CNPq
ANTONIO LUIZ PINHO RIBEIRO,PQ,1A,CNPq
ANTONIO PEREIRA MAGALHAES JUNIOR,PQ,1D,CNPq
ARIETE RIGHI,PQ,1D,CNPq
ARISTOBOLO MENDES DA SILVA,PQ,2,CNPq
ARISTOTELES GOES NETO,PQ,1D,CNPq
ARMANDO ALVES NETO,PQ,2,CNPq
ARMANDO DA SILVA CUNHA JUNIOR,PQ,A,CNPq
ARTURO ULISES FERNANDEZ PEREZ,PQ,2,CNPq
AURELIANO ANGEL BRESSAN,PQ,2,CNPq
AUREO EDUARDO MAGALHAES RIBEIRO,PQ,C,CNPq
BENILDES COURA MOREIRA DOS SANTOS MACULAN,PQ,2,CNPq
BENITO SOTO BLANCO,PQ,1B,CNPq
BERNARDO LAGES RODRIGUES,PQ,C,CNPq
BERNARDO LANZA QUEIROZ,PQ,1C,CNPq
BERNARDO NUNES BORGES DE LIMA,PQ,2,CNPq
BERNARDO RUEGGER ALMEIDA NEVES,PQ,1C,CNPq
BETANIA PAIVA DRUMOND,PQ,C,CNPq
BRUNA FIGUEIREDO MANZO,PQ,C,CNPq
BRUNO ALEXANDER NUNES SILVA,PQ,C,CNPq
BRUNO MELO BRENTAN,PQ,2,CNPq
BRUNO OTAVIO SOARES TEIXEIRA,PQ,2,CNPq
BRUNO RAMOS NASCIMENTO,PQ,2,CNPq
BRUNO SOUZA LEAL,PQ,1D,CNPq
CAMILA ARGENTA FANTE,PQ,C,CNPq
CAMILA COSTA DE AMORIM AMARAL,PQ,C,CNPq
CAMILA STEFANIE FONSECA DE OLIVEIRA,PQ,C,CNPq
CARLA JORGE MACHADO,PQ,1D,CNPq
CARLOS ALBERTO AVILA ARAUJO,PQ,C,CNPq
CARLOS ALBERTO CIMINI JUNIOR,PQ,C,CNPq
CARLOS ALBERTO DE CARVALHO,PQ,2,CNPq
CARLOS ALBERTO TAGLIATI,DT,2,CNPq
CARLOS ANDREY MAIA,PQ,C,CNPq
CARLOS AUGUSTO ROSA,PQ,1A,CNPq
CARLOS BASILIO PINHEIRO,PQ,1D,CNPq
CARLOS DELFIN CHAVEZ OLORTEGUI,PQ,1A,CNPq
CARLOS EDUARDO VELASQUEZ CABRERA,PQ,C,CNPq
CARLOS FREDERICO DE BRITO D ANDREA,PQ,C,CNPq
CARLOS HENRIQUE MONKEN,PQ,1A,CNPq
CARLOS MAGNO CAMARGOS MENDONCA,PQ,2,CNPq
CARLOS RENATO MACHADO,PQ,1C,CNPq
CAROLINA CAVALIERI GOMES,PQ,1D,CNPq
CASSIO GONCALVES DO REGO,PQ,2,CNPq
CASSIO MALDONADO TURRA,PQ,B,CNPq
CESAR GERALDO GUIMARAES,PQ,2,CNPq
CESAR NARDELLI CAMBRAIA,PQ,1D,CNPq
CESAR ROSSAS MOTA FILHO,PQ,1D,CNPq
CHRISTIAN FERNANDES,PQ,2,CNPq
CHRISTIANNE LUCE GOMES,PQ,1D,CNPq
CHRISTINA DANIELLI COELHO DE MORAIS FARIA,PQ,1D,CNPq
CINTIA APARECIDA CHAGAS,PQ,C,CNPq
CLARYSSON ALBERTO MELLO DA SILVA,PQ,C,CNPq
CLAUBIA PEREIRA BEZERRA LIMA,PQ,1B,CNPq
CLAUDIA FERES FARIA,PQ,C,CNPq
CLAUDIA REGINA LINDGREN ALVES,PQ,2,CNPq
CLAUDIO SANTIAGO DIAS JUNIOR,PQ,C,CNPq
CLAYSSON BRUNO SANTOS VIMIEIRO,DT,2,CNPq
CLEIDA APARECIDA DE OLIVEIRA,PQ,C,CNPq
CLEITON MOREIRA DA SILVA,PQ,2,CNPq
CLEMENS PETER SCHLINDWEIN,PQ,1C,CNPq
CLESIA CRISTINA NASCENTES,PQ,2,CNPq
CLODOVEU AUGUSTO DAVIS JUNIOR,PQ,C,CNPq
CONSTANTINO LUZ DE MEDEIROS,PQ,2,CNPq
CRISTIANA LIBARDI MIRANDA FURTADO,PQ,2,CNPq
CRISTIANE BACCIN BENDO NEVES,PQ,C,CNPq
CRISTIANO FANTINI LEITE,PQ,1C,CNPq
CRISTIANO LEITE DE CASTRO,PQ,C,CNPq
CRISTIANO MAURO ASSIS GOMES,PQ,2,CNPq
CRISTINA GUATIMOSIM FONSECA,PQ,1D,CNPq
CSABA SCHNEIDER,PQ,1D,CNPq
CYNTHIA LOPES MARTINS PEREIRA,PQ,C,CNPq
DAISY MOREIRA CUNHA,PQ,C,CNPq
DALTON MARTINI COLOMBO,PQ,C,CNPq
DANIEL DE ASSIS SANTOS,PQ,1C,CNPq
DANIEL FERNANDES MACEDO,PQ,C,CNPq
DANIEL MAJUSTE,PQ,C,CNPq
DANIEL MENEZES SOUZA,DT,1D,CNPq
DANIELE CRISTINA DE AGUIAR,PQ,2,CNPq
DANIELE DA GLORIA DE SOUZA,PQ,1B,CNPq
DANIELLA CASTANHEIRA BARTHOLOMEU,PQ,1B,CNPq
DANIELLE FERREIRA DE MAGALHAES SOARES,PQ,2,CNPq
DANILO IGLESIAS BRANDAO,PQ,C,CNPq
