n,time,stack
1000,0.000000,80
2000,0.000000,80
3000,0.000000,80
4000,0.000000,80
5000,0.000000,80
6000,0.000000,80
7000,0.031250,80
8000,0.000000,80
9000,0.031250,80
10000,0.000000,80
