n,time,stack
1000,0.000000,48064
2000,0.000000,96064
3000,0.000000,144064
4000,0.031250,192064
5000,0.000000,240064
6000,0.281250,288064
7000,0.000000,336064
8000,0.156250,384064
9000,0.125000,432064
10000,0.156250,480064
