n,time,stack
1000,0.031250,48240
2000,0.000000,96240
3000,0.062500,144240
4000,0.093750,192240
5000,0.062500,240240
6000,0.062500,288240
7000,0.062500,336240
8000,0.187500,384240
9000,0.375000,432240
10000,0.031250,480240
