n,time,stack
1000,0.000000,208
2000,0.000000,208
3000,0.000000,208
4000,0.000000,208
5000,0.000000,208
6000,0.000000,208
7000,0.000000,208
8000,0.218750,208
9000,0.250000,208
10000,0.031250,208
